line_no,file_name,self_id,cue,sequence,waveform,awb_stream,character_name,role,gender,voice_target,voice_project,reference_audio,thai_text,pronunciation_note,prosody_note,status,tts_text
68,MS01_X01_A1_0010_M_TRA_0010.wav,MS01_X01_A1_0010_M_TRA_0010,70,70,70,71,ทราวิส,unknown,male,travis,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P014/candidate_01.wav,วะฮะฮ่าา! ขอบใจมากเลยนะแม่หนู!,,,PENDING_MANUAL_GENERATION,
69,MS01_X01_A1_0010_M_TRA_0020.wav,MS01_X01_A1_0010_M_TRA_0020,71,71,71,72,ทราวิส,unknown,male,travis,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P014/candidate_01.wav,การบอกให้ทหารถอยเรือกลับไปทั้งลำช่างเป็นความคิดที่ฉลาดเหลือล้นจริงๆ! เราได้ยินมาว่าพวกเจ้าจะมาที่นี่ เลยอยากจะมาต้อนรับสักหน่อย!,,,PENDING_MANUAL_GENERATION,
70,MS01_X01_A1_0010_F_TRI_0010.wav,MS01_X01_A1_0010_F_TRI_0010,57,57,57,58,ทริช,unknown,female,trish,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P015/candidate_01.wav,วันนี้โชคเข้าข้างเนอะ ใช่มั้ยป๊า?,,,PENDING_MANUAL_GENERATION,
71,MS01_X01_A1_0010_F_FRE_0100.wav,MS01_X01_A1_0010_F_FRE_0100,56,56,56,57,เฟรเดอริก้า,unknown,female,frederica,triangle-strategy,assets/approved_voice_references/frederica.wav,โจรเหรอ!?,,,PENDING_MANUAL_GENERATION,
72,MS01_X01_A1_0010_F_YRA_0070.wav,MS01_X01_A1_0010_F_YRA_0070,64,64,64,65,จีล่า,unknown,female,geela,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P005/candidate_01.wav,ถอยไปซะ ท่านหญิง! ข้าไม่ให้พวกมันจับตัวท่านไปหรอก,,,PENDING_MANUAL_GENERATION,
73,MS01_X01_A1_1005_M_M152_0010.wav,MS01_X01_A1_1005_M_M152_0010,81,81,81,82,เด็ก,npc,male,MALE_CHILD_B,triangle-strategy,assets/triangle-strategy/approved_voice_references/MALE_CHILD_B.wav,ลอร์ดเซเรโนอา!,,,PENDING_MANUAL_GENERATION,
74,MS01_X01_A1_1005_M_M152_0015.wav,MS01_X01_A1_1005_M_M152_0015,322,322,322,83,เด็ก,npc,male,MALE_CHILD_B,triangle-strategy,assets/triangle-strategy/approved_voice_references/MALE_CHILD_B.wav,อรุณสวัสดิ์ขอรับ!,,,PENDING_MANUAL_GENERATION,
75,MS01_X01_A1_1005_F_M153_0010.wav,MS01_X01_A1_1005_F_M153_0010,72,72,72,73,ชาวเมืองวูล์ฟฟอร์ต,npc,female,FEMALE_ADULT_A,triangle-strategy,assets/triangle-strategy/approved_voice_references/FEMALE_ADULT_A.wav,ยินดีด้วยเจ้าค่ะ อนาคตแห่งวูลฟ์ฟอร์ตนั้นสดใสกว่าที่เคยจริงๆ,,,PENDING_MANUAL_GENERATION,
76,MS01_X01_A1_1005_M_M154_0010.wav,MS01_X01_A1_1005_M_M154_0010,82,82,82,84,ชาวเมืองวูล์ฟฟอร์ต,npc,male,MALE_ADULT_B,triangle-strategy,assets/triangle-strategy/approved_voice_references/MALE_ADULT_B.wav,วันนี้ที่รอคอยสินะขอรับ? พวกเราเตรียมฉลองวันสำคัญของท่านแล้วล่ะ!,,,PENDING_MANUAL_GENERATION,
77,MS01_X01_A1_1005_M_SEL_0010.wav,MS01_X01_A1_1005_M_SEL_0010,83,83,83,85,เซเรโนอา,unknown,male,serenoa,triangle-strategy,assets/approved_voice_references/serenoa.wav,ขอบใจมากเลยนะทุกคน,,,PENDING_MANUAL_GENERATION,
78,MS01_X01_A1_1005_M_BND_0010.wav,MS01_X01_A1_1005_M_BND_0010,73,73,73,74,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,นายท่าน! ลอร์ดเซเรโนอา!,,,PENDING_MANUAL_GENERATION,
79,MS01_X01_A1_1005_M_BND_0020.wav,MS01_X01_A1_1005_M_BND_0020,74,74,74,75,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,ท่านอยู่นี่นี่เอง,,,PENDING_MANUAL_GENERATION,
80,MS01_X01_A1_1005_M_SEL_0020.wav,MS01_X01_A1_1005_M_SEL_0020,84,84,84,86,เซเรโนอา,unknown,male,serenoa,triangle-strategy,assets/approved_voice_references/serenoa.wav,อ๊ะ...เบเนดิกต์ เหมือนว่าข่าวถึงหูประชาชนแล้วสินะ,,,PENDING_MANUAL_GENERATION,
81,MS01_X01_A1_1005_M_BND_0030.wav,MS01_X01_A1_1005_M_BND_0030,75,75,75,76,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,ก็เพราะเอราดอร์นั่นแหละท่าน เอาแต่พล่ามข่าวให้ชาวบ้านฟังไปทั่ว เดี๋ยวข้าค่อยไปคุยกับเขาทีหลังขอรับ,,,PENDING_MANUAL_GENERATION,
82,MS01_X01_A1_1005_M_SEL_0030.wav,MS01_X01_A1_1005_M_SEL_0030,85,85,85,87,เซเรโนอา,unknown,male,serenoa,triangle-strategy,assets/approved_voice_references/serenoa.wav,วันนี้เป็นวันสำคัญของอาณาจักรเกรนบรู๊ค ไม่ใช่ของพวกเราเพียงอย่างเดียว,,,PENDING_MANUAL_GENERATION,
83,MS01_X01_A1_1005_M_SEL_0040.wav,MS01_X01_A1_1005_M_SEL_0040,86,86,86,88,เซเรโนอา,unknown,male,serenoa,triangle-strategy,assets/approved_voice_references/serenoa.wav,จะให้เก็บเป็นความลับก็คงไม่ได้แล้วล่ะ,,,PENDING_MANUAL_GENERATION,
84,MS01_X01_A1_1005_M_BND_0040.wav,MS01_X01_A1_1005_M_BND_0040,76,76,76,77,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,ถูกต้องที่สุดขอรับ นายท่าน แต่ท่านต้องพิจารณาเชื้อสายของคู่หมั้นด้วยนะขอรับ,,,PENDING_MANUAL_GENERATION,
85,MS01_X01_A1_1005_M_SEL_0050.wav,MS01_X01_A1_1005_M_SEL_0050,87,87,87,89,เซเรโนอา,unknown,male,serenoa,triangle-strategy,assets/approved_voice_references/serenoa.wav,ข้าเข้าใจ เบเนดิกต์,,,PENDING_MANUAL_GENERATION,
86,MS01_X01_A1_1005_M_SEL_0060.wav,MS01_X01_A1_1005_M_SEL_0060,88,88,88,90,เซเรโนอา,unknown,male,serenoa,triangle-strategy,assets/approved_voice_references/serenoa.wav,ยังบอกไม่ได้หรอกว่ามันจะส่งผลกระทบเช่นไร แต่ที่แน่ๆ คือผู้คนจะสรรเสริญเรา...พวกเขาจะมีความหวังในอนาคต,,,PENDING_MANUAL_GENERATION,
87,MS01_X01_A1_1005_M_SEL_0070.wav,MS01_X01_A1_1005_M_SEL_0070,89,89,89,91,เซเรโนอา,unknown,male,serenoa,triangle-strategy,assets/approved_voice_references/serenoa.wav,ข้าจะพยายามเต็มที่ ในฐานะว่าที่ผู้นำตระกูลวูล์ฟฟอร์ต,,,PENDING_MANUAL_GENERATION,
88,MS01_X01_A1_1005_M_BND_0050.wav,MS01_X01_A1_1005_M_BND_0050,77,77,77,78,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,แน่วแน่ดีขอรับนายท่าน ในฐานะผู้ดูแลตระกูล ข้าจะช่วยเหลือท่านอย่างสุดความสามารถ,,,PENDING_MANUAL_GENERATION,
89,MS01_X01_A1_1005_M_SEL_0080.wav,MS01_X01_A1_1005_M_SEL_0080,90,90,90,92,เซเรโนอา,unknown,male,serenoa,triangle-strategy,assets/approved_voice_references/serenoa.wav,ขอบคุณนะเบเนดิกต์ ช่างอุ่นใจจริงๆที่ข้าได้รับการช่วยเหลือจากมือขวาของท่านพ่อ,,,PENDING_MANUAL_GENERATION,
90,MS01_X01_A1_1005_M_BND_0060.wav,MS01_X01_A1_1005_M_BND_0060,78,78,78,79,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,เช่นนั้น เรามุ่งหน้าไปท่าเรือกันเลยมั้ยขอรับ นายท่าน?,,,PENDING_MANUAL_GENERATION,
91,MS01_X01_A1_1005_M_SEL_0090.wav,MS01_X01_A1_1005_M_SEL_0090,91,91,91,93,เซเรโนอา,unknown,male,serenoa,triangle-strategy,assets/approved_voice_references/serenoa.wav,จะไปแล้วเหรอ? นึกว่าพวกเรามีเวลามากกว่านี้เสียอีก,,,PENDING_MANUAL_GENERATION,
92,MS01_X01_A1_1005_M_BND_0070.wav,MS01_X01_A1_1005_M_BND_0070,79,79,79,80,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,ระดับน้ำในแม่น้ำนั้นสูงขึ้น สืบเนื่องมาจากพายุฝนก่อนหน้านี้,,,PENDING_MANUAL_GENERATION,
93,MS01_X01_A1_1005_M_BND_0080.wav,MS01_X01_A1_1005_M_BND_0080,80,80,80,81,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,ดูจากทิศทางของลมแล้ว ข้าคิดว่าเรือเอสฟรอสต์คงมาถึงก่อนกำหนดขอรับ,,,PENDING_MANUAL_GENERATION,
94,MS01_X01_A1_1005_M_SEL_0100.wav,MS01_X01_A1_1005_M_SEL_0100,92,92,92,94,เซเรโนอา,unknown,male,serenoa,triangle-strategy,assets/approved_voice_references/serenoa.wav,เจ้ามีเรื่องให้ข้าตะลึงตลอดเลยนะเนี่ย เช่นนั้น เราไปกันเถอะ,,,PENDING_MANUAL_GENERATION,
95,MS01_X01_A1_1010_F_ANA_0010.wav,MS01_X01_A1_1010_F_ANA_0010,93,93,93,95,แอนนา,unknown,female,anna,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P006/candidate_02.wav,ยินดีต้อนรับกลับมาเจ้าค่ะ ท่านทั้งสอง,,,PENDING_MANUAL_GENERATION,
96,MS01_X01_A1_1010_M_BND_0010.wav,MS01_X01_A1_1010_M_BND_0010,101,101,101,103,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,มีปัญหาอะไรระหว่างที่เราไม่อยู่ไหม?,,,PENDING_MANUAL_GENERATION,
97,MS01_X01_A1_1010_F_ANA_0020.wav,MS01_X01_A1_1010_F_ANA_0020,94,94,94,96,แอนนา,unknown,female,anna,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P006/candidate_02.wav,ไม่มีเลยนอกจากเอราดอร์เจ้าค่ะ...แต่นั่นก็ปกติอยู่แล้วไม่ใช่เหรอท่าน?,,,PENDING_MANUAL_GENERATION,
98,MS01_X01_A1_1010_M_ELA_0010.wav,MS01_X01_A1_1010_M_ELA_0010,109,109,109,111,เอราดอร์,unknown,male,erador,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P008/candidate_01.wav,พอเลย เบเนดิกต์! ข้าได้ยินว่าเจ้าถูกโจรเล่นงาน! นายท่านปลอดภัยดีใช่มั้ย!?,,,PENDING_MANUAL_GENERATION,
99,MS01_X01_A1_1010_M_BND_0020.wav,MS01_X01_A1_1010_M_BND_0020,102,102,102,104,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,แล้วจะตะโกนทำไมเนี่ย!? เบาเสียงลงหน่อย!,,,PENDING_MANUAL_GENERATION,
100,MS01_X01_A1_1010_M_BND_0030.wav,MS01_X01_A1_1010_M_BND_0030,103,103,103,105,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,ไม่เห็นหรือไงว่าความปากสว่างของเจ้ามันพาซวย?,,,PENDING_MANUAL_GENERATION,
101,MS01_X01_A1_1010_M_SEL_0010.wav,MS01_X01_A1_1010_M_SEL_0010,115,115,115,117,เซเรโนอา,unknown,male,serenoa,triangle-strategy,assets/approved_voice_references/serenoa.wav,ไม่จำเป็นต้องกังวลหรอกเอราดอร์ อีกอย่าง ข้าไม่ใช่เด็กแล้วนะ,,,PENDING_MANUAL_GENERATION,
102,MS01_X01_A1_1010_M_ELA_0020.wav,MS01_X01_A1_1010_M_ELA_0020,110,110,110,112,เอราดอร์,unknown,male,erador,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P008/candidate_01.wav,ถึงจะไม่ใช่เด็ก แต่ข้าก็รู้จักท่านตั้งแต่ที่ตัวเท่าหัวเข่า— เอ่อ ช่างมันเถอะขอรับ,,,PENDING_MANUAL_GENERATION,
104,MS01_X01_A1_1010_M_ELA_0030.wav,MS01_X01_A1_1010_M_ELA_0030,111,111,111,113,เอราดอร์,unknown,male,erador,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P008/candidate_01.wav,...นี่คงต้องเป็นว่าที่เจ้าสาวของนายท่านแน่เลย!,,,PENDING_MANUAL_GENERATION,
105,MS01_X01_A1_1010_F_FRE_0020.wav,MS01_X01_A1_1010_F_FRE_0020,97,97,97,99,เฟรเดอริก้า,unknown,female,frederica,triangle-strategy,assets/approved_voice_references/frederica.wav,ข้าชื่อเฟรเดอริก้า เป็นเกียรติที่ได้รู้จักกับพวกท่านทุกคนนะ,,,PENDING_MANUAL_GENERATION,
106,MS01_X01_A1_1010_F_YRA_0010.wav,MS01_X01_A1_1010_F_YRA_0010,99,99,99,101,จีล่า,unknown,female,geela,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P005/candidate_01.wav,ส่วนข้าจีล่า เป็นบริวารของนาง ยินดีที่ได้รู้จักเจ้าค่ะ,,,PENDING_MANUAL_GENERATION,
107,MS01_X01_A1_1010_M_BND_0040.wav,MS01_X01_A1_1010_M_BND_0040,104,104,104,106,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,ข้าคือผู้รับใช้ตระกูลวูล์ฟฟอร์ตขอรับ,,,PENDING_MANUAL_GENERATION,
108,MS01_X01_A1_1010_M_BND_0050.wav,MS01_X01_A1_1010_M_BND_0050,105,105,105,107,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,นี่คือเอราดอร์ เป็นปรมาจารย์ผู้ฝึกสอนอาวุธ และเป็นผู้บัญชาการกองทัพทหารของเรา,,,PENDING_MANUAL_GENERATION,
109,MS01_X01_A1_1010_M_ELA_0040.wav,MS01_X01_A1_1010_M_ELA_0040,112,112,112,114,เอราดอร์,unknown,male,erador,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P008/candidate_01.wav,ท่านจะเป็นศรีภรรยาแห่งวูล์ฟฟอร์ตแล้วสินะ! ตราบใดที่มีข้าอยู่เคียงข้าง...ท่านจะปลอดภัยขอรับ!,,,PENDING_MANUAL_GENERATION,
110,MS01_X01_A1_1010_M_BND_0060.wav,MS01_X01_A1_1010_M_BND_0060,106,106,106,108,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,ส่วนนี่แอนนา มือขวาของข้าเอง,,,PENDING_MANUAL_GENERATION,
111,MS01_X01_A1_1010_F_ANA_0030.wav,MS01_X01_A1_1010_F_ANA_0030,95,95,95,97,แอนนา,unknown,female,anna,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P006/candidate_02.wav,หากท่านต้องการสิ่งใด โปรดบอกข้าได้เลยเจ้าค่ะ,,,PENDING_MANUAL_GENERATION,
112,MS01_X01_A1_1010_M_SEL_0020.wav,MS01_X01_A1_1010_M_SEL_0020,116,116,116,118,เซเรโนอา,unknown,male,serenoa,triangle-strategy,assets/approved_voice_references/serenoa.wav,พวกเขาก็เปรียบเสมือนครอบครัวของข้าแม้ไม่ได้มีสายเลือดเดียวกัน และพวกเขาจะเป็นครอบครัวของท่านนับแต่นี้ไป,,,PENDING_MANUAL_GENERATION,
113,MS01_X01_A1_1010_F_FRE_0030.wav,MS01_X01_A1_1010_F_FRE_0030,98,98,98,100,เฟรเดอริก้า,unknown,female,frederica,triangle-strategy,assets/approved_voice_references/frederica.wav,ข้ารู้มาว่าตระกูลวูล์ฟฟอร์ตนั้นมีอำนาจและอิทธิพลเป็นรองจากราชวงศ์แห่งเกลนบรู๊คเท่านั้น ข้าจะพยายามเต็มที่เพื่อไม่ให้ท่านผิดหวังเจ้าค่ะ,,,PENDING_MANUAL_GENERATION,
114,MS01_X01_A1_1010_M_ELA_0050.wav,MS01_X01_A1_1010_M_ELA_0050,113,113,113,115,เอราดอร์,unknown,male,erador,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P008/candidate_01.wav,ช่างเป็นวันที่แสนยินดีจริงๆ! นายท่านเติบโตและได้พบกับคู่หมั้นที่คู่ควร! ข้าจะร้องไห้แล้วนะ!,,,PENDING_MANUAL_GENERATION,
115,MS01_X01_A1_1010_F_YRA_0020.wav,MS01_X01_A1_1010_F_YRA_0020,100,100,100,102,จีล่า,unknown,female,geela,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P005/candidate_01.wav,...น้ำเสียงของเขามันฟ้องจริงด้วย,,,PENDING_MANUAL_GENERATION,
116,MS01_X01_A1_1010_M_ELA_0060.wav,MS01_X01_A1_1010_M_ELA_0060,114,114,114,116,เอราดอร์,unknown,male,erador,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P008/candidate_01.wav,ขออภัยขอรับท่านหญิง แต่อีกเดี๋ยวท่านก็ชิน!,,,PENDING_MANUAL_GENERATION,
117,MS01_X01_A1_1010_N_M416_0010.wav,MS01_X01_A1_1010_N_M416_0010,118,118,118,120,เซเรโนอาและผองเพื่อน,npc,unknown,serenoa,triangle-strategy,assets/triangle-strategy/approved_voice_references/serenoa.wav,ฮ่าฮ่าฮ่า!,,,PENDING_MANUAL_GENERATION,
118,MS01_X01_A1_1010_M_BND_0070.wav,MS01_X01_A1_1010_M_BND_0070,107,107,107,109,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,นายท่าน พ่อของท่านกำลังรออยู่ในห้องของเขาขอรับ,,,PENDING_MANUAL_GENERATION,
119,MS01_X01_A1_1010_M_BND_0080.wav,MS01_X01_A1_1010_M_BND_0080,108,108,108,110,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,ส่วนข้าขอคุยเรื่องงานฉลองพรุ่งนี้กับแอนนาและเอราดอร์ก่อนนะขอรับ,,,PENDING_MANUAL_GENERATION,
120,MS01_X01_A1_1010_M_SEL_0040.wav,MS01_X01_A1_1010_M_SEL_0040,117,117,117,119,เซเรโนอา,unknown,male,serenoa,triangle-strategy,assets/approved_voice_references/serenoa.wav,ท่านหญิงเฟรเดอริก้า รบกวนช่วยตามข้ามาด้วย ท่านพ่อรอเราอยู่ขอรับ,,,PENDING_MANUAL_GENERATION,
121,MS01_X01_A1_1020_M_BND_0010.wav,MS01_X01_A1_1020_M_BND_0010,127,127,127,129,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,อย่างที่พวกเจ้ารู้กันดี มีงานสำคัญสองอย่างที่จะเกิดขึ้นก่อนงานสมรสของท่านลอร์ดเซเรโนอากับเจ้าสาวของเขา,,,PENDING_MANUAL_GENERATION,
122,MS01_X01_A1_1020_F_ANA_0010.wav,MS01_X01_A1_1020_F_ANA_0010,119,119,119,121,แอนนา,unknown,female,anna,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P006/candidate_02.wav,พิธีฉลองเพื่อเป็นอนุสรณ์แห่งการร่วมมือกันของอาณาจักรในการขุดเหมืองเหรอ?,,,PENDING_MANUAL_GENERATION,
123,MS01_X01_A1_1020_M_ELA_0010.wav,MS01_X01_A1_1020_M_ELA_0010,140,140,140,142,เอราดอร์,unknown,male,erador,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P008/candidate_01.wav,ไม่อยากจะเชื่อเลยนะ ว่าพวกเราจะได้เห็นโครงการขุดเหมืองในเกลนบรู๊ค ที่ได้รับการสนับสนุนจากเอสฟรอสต์และไฮแซนต์อย่างเต็มที่!,,,PENDING_MANUAL_GENERATION,
124,MS01_X01_A1_1020_M_BND_0020.wav,MS01_X01_A1_1020_M_BND_0020,128,128,128,130,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,ก็เพราะฝ่าบาทเร็กน่านั่นแหละ ข้อเสนออันหลักแหลมและใจกว้างของเขา ทำให้อาณาจักรทั้งสามแห่งดินแดนนอร์เซเลียมีเป้าหมายเดียวกัน,,,PENDING_MANUAL_GENERATION,
125,MS01_X01_A1_1020_M_BND_0030.wav,MS01_X01_A1_1020_M_BND_0030,129,129,129,131,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,แน่นอนว่าผู้แทนจากอาณาจักรต่างๆ จะเดินทางมาเข้าร่วมงานฉลองนี้ด้วย,,,PENDING_MANUAL_GENERATION,
126,MS01_X01_A1_1020_F_ANA_0020.wav,MS01_X01_A1_1020_F_ANA_0020,120,120,120,122,แอนนา,unknown,female,anna,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P006/candidate_02.wav,ลอร์ดดราแกน จากราชรัฐเอสฟรอสต์ ผู้ดูแลด้านเทคนิคของปฏิบัติการเหมืองแร่,,,PENDING_MANUAL_GENERATION,
127,MS01_X01_A1_1020_F_ANA_0030.wav,MS01_X01_A1_1020_F_ANA_0030,121,121,121,123,แอนนา,unknown,female,anna,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P006/candidate_02.wav,รัฐมนตรี ไลล่า วิสคราฟต์ แห่งผู้ศักดิ์สิทธิ์ทั้งเจ็ด ก็เป็นผู้แทนจากรัฐศักดิ์สิทธิ์แห่งไฮแซนต์,,,PENDING_MANUAL_GENERATION,
128,MS01_X01_A1_1020_F_ANA_0040.wav,MS01_X01_A1_1020_F_ANA_0040,122,122,122,124,แอนนา,unknown,female,anna,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P006/candidate_02.wav,...และลอร์ดซีมอนจะเป็นผู้แทนแห่งเกลนบรู๊ค เขาจะไปเจอกับผู้แทนทั้งสองคนก่อนพิธีฉลองใช่ไหม?,,,PENDING_MANUAL_GENERATION,
129,MS01_X01_A1_1020_M_BND_0040.wav,MS01_X01_A1_1020_M_BND_0040,130,130,130,132,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,ประมาณนั้น จากนั้นก็จะเป็นหน้าที่ของตระกูลวูล์ฟฟอร์ต ที่ต้องดูแลต้อนรับแขกผู้มีเกียรติอย่างอบอุ่น,,,PENDING_MANUAL_GENERATION,
130,MS01_X01_A1_1020_M_BND_0050.wav,MS01_X01_A1_1020_M_BND_0050,131,131,131,133,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,แอนนา ข้าฝากเจ้าคุ้มกันลอร์ดดราแกนกับรัฐมนตรีไลล่าด้วยนะ,,,PENDING_MANUAL_GENERATION,
131,MS01_X01_A1_1020_F_ANA_0050.wav,MS01_X01_A1_1020_F_ANA_0050,123,123,123,125,แอนนา,unknown,female,anna,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P006/candidate_02.wav,รับทราบเจ้าค่ะ,,,PENDING_MANUAL_GENERATION,
132,MS01_X01_A1_1020_M_ELA_0020.wav,MS01_X01_A1_1020_M_ELA_0020,141,141,141,143,เอราดอร์,unknown,male,erador,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P008/candidate_01.wav,เมื่อพิธีฉลองจบลงแล้ว เราจะได้เข้าสู่ช่วงสำคัญของวันเสียที งานประลองยังไงล่ะ!,,,PENDING_MANUAL_GENERATION,
133,MS01_X01_A1_1020_M_ELA_0030.wav,MS01_X01_A1_1020_M_ELA_0030,142,142,142,144,เอราดอร์,unknown,male,erador,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P008/candidate_01.wav,อ้า แค่ได้เห็นนักรบจากทั่วดินแดนมาปะทะดาบกัน ก็ทำเอาเลือดข้าสูบฉีดไปหมด!,,,PENDING_MANUAL_GENERATION,
134,MS01_X01_A1_1020_F_ANA_0060.wav,MS01_X01_A1_1020_F_ANA_0060,124,124,124,126,แอนนา,unknown,female,anna,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P006/candidate_02.wav,ทั้งแม่ทัพอัฟโลร่าผู้เลื่องชื่อจากเอสฟรอสต์...,,,PENDING_MANUAL_GENERATION,
135,MS01_X01_A1_1020_F_ANA_0070.wav,MS01_X01_A1_1020_F_ANA_0070,125,125,125,127,แอนนา,unknown,female,anna,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P006/candidate_02.wav,และรัฐมนตรีเอกซ์เฮมจากไฮแซนต์ ที่ความสามารถของเขาเป็นที่เลื่องลือเช่นกัน,,,PENDING_MANUAL_GENERATION,
136,MS01_X01_A1_1020_M_ELA_0040.wav,MS01_X01_A1_1020_M_ELA_0040,143,143,143,145,เอราดอร์,unknown,male,erador,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P008/candidate_01.wav,แต่พวกเราไม่น้อยหน้าหรอก เพราะเรามีเซอร์แม็กซ์เวลล์ หอกอรุณ ผู้เป็นความภูมิใจของเกลนบรู๊คนั่นเอง!,,,PENDING_MANUAL_GENERATION,
137,MS01_X01_A1_1020_M_ELA_0050.wav,MS01_X01_A1_1020_M_ELA_0050,144,144,144,146,เอราดอร์,unknown,male,erador,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P008/candidate_01.wav,อย่างไรเสีย ข้าก็ขอให้พวกเขาโชคดีในการต่อสู้กับเจ้าภาพแล้วกันนะ! จะเอาชนะตระกูลวูล์ฟฟอร์ตคงต้องพึ่งโชคแล้วล่ะ!,,,PENDING_MANUAL_GENERATION,
138,MS01_X01_A1_1020_M_BND_0060.wav,MS01_X01_A1_1020_M_BND_0060,132,132,132,134,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,เรื่องนั้น ข้ามีสองสิ่งที่ต้องอธิบายให้ชัดเจนก่อน,,,PENDING_MANUAL_GENERATION,
139,MS01_X01_A1_1020_M_BND_0070.wav,MS01_X01_A1_1020_M_BND_0070,133,133,133,135,เบเนดิกต์,unknown,male,benedict,triangle-strategy,assets/approved_voice_references/benedict.wav,องค์ชายโรแลนด์ประสงค์จะเข้าร่วมการประลองในฐานะทหารแห่งทัพวูล์ฟฟอร์ต,,,PENDING_MANUAL_GENERATION,
140,MS01_X01_A1_1020_M_ELA_0060.wav,MS01_X01_A1_1020_M_ELA_0060,145,145,145,147,เอราดอร์,unknown,male,erador,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P008/candidate_01.wav,แล้วเขาจะอยู่ข้างเราเพื่ออะไร ทำไมไม่สู้ด้วยกันกับครูฝึกของตัวเองล่ะ?,,,PENDING_MANUAL_GENERATION,
