line_no,bank,bank_variant,cue_name,battle_cue_id,cue,sequence,waveform,awb_stream,character_code,character_name,gender,voice_target,classification,action,status,uexp_path,awb_path,audio_duration_sec,english_text,thai_text,transcript_status,transcript_source,battle_cry_class,thai_battle_cry
826,V_F_GUR_EN,,V_F_GUR_BTL_17415,17415,53,53,53,54,GUR,โกรมา,female,groma,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_GUR_EN.uexp,work/opening_trace_phase2/awb/V_F_GUR_EN.awb,1.349,Shall we then?,งั้นก็เริ่มกันเลยไหม?,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
827,V_F_GUR_EN,,V_F_GUR_BTL_17420,17420,54,54,54,55,GUR,โกรมา,female,groma,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_GUR_EN.uexp,work/opening_trace_phase2/awb/V_F_GUR_EN.awb,1.963,You will not strike me.,เจ้าจะโจมตีข้าไม่ได้,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
828,V_F_GUR_EN,,V_F_GUR_BTL_17421,17421,55,55,55,56,GUR,โกรมา,female,groma,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_GUR_EN.uexp,work/opening_trace_phase2/awb/V_F_GUR_EN.awb,1.484,I shan't miss.,ข้าจะไม่พลาด,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
829,V_F_GUR_EN,,V_F_GUR_BTL_17460,17460,56,56,56,57,GUR,โกรมา,female,groma,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_GUR_EN.uexp,work/opening_trace_phase2/awb/V_F_GUR_EN.awb,2.108,I see your every weakness.,ข้ามองเห็นทุกจุดอ่อนของเจ้า,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
830,V_F_GUR_EN,,V_F_GUR_BTL_17461,17461,57,57,57,58,GUR,โกรมา,female,groma,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_GUR_EN.uexp,work/opening_trace_phase2/awb/V_F_GUR_EN.awb,1.985,I will fight if I must.,ถ้าจำเป็นข้าก็จะสู้,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
831,V_F_GUR_EN,,V_F_GUR_BTL_17462,17462,58,58,58,59,GUR,โกรมา,female,groma,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_GUR_EN.uexp,work/opening_trace_phase2/awb/V_F_GUR_EN.awb,1.642,"Very well, then.",ได้ งั้นก็เอาเลย,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
832,V_F_GUR_EN,,V_F_GUR_BTL_17480,17480,59,59,59,60,GUR,โกรมา,female,groma,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_GUR_EN.uexp,work/opening_trace_phase2/awb/V_F_GUR_EN.awb,1.845,Can you handle my might?,รับพลังของข้าไหวไหม?,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
833,V_F_GUR_EN,,V_F_GUR_BTL_17500,17500,60,60,60,61,GUR,โกรมา,female,groma,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_GUR_EN.uexp,work/opening_trace_phase2/awb/V_F_GUR_EN.awb,2.467,I must refine my skills.,ข้าต้องขัดเกลาฝีมือให้ดียิ่งขึ้น,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
834,V_F_GUR_EN,,V_F_GUR_BTL_17600,17600,61,61,61,62,GUR,โกรมา,female,groma,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_GUR_EN.uexp,work/opening_trace_phase2/awb/V_F_GUR_EN.awb,2.817,so an old dog can learn new tricks.,แม้หมาแก่ก็ยังเรียนรู้ลูกเล่นใหม่ได้,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
835,V_F_GUR_EN,,V_F_GUR_BTL_17700,17700,62,62,62,63,GUR,โกรมา,female,groma,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_GUR_EN.uexp,work/opening_trace_phase2/awb/V_F_GUR_EN.awb,1.705,I mustn't give up hope.,ข้าต้องไม่หมดหวัง,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
836,V_F_GUR_EN,,V_F_GUR_BTL_17800,17800,63,63,63,64,GUR,โกรมา,female,groma,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_GUR_EN.uexp,work/opening_trace_phase2/awb/V_F_GUR_EN.awb,2.955,There is life in these old bones yet.,กระดูกแก่ ๆ นี้ยังมีแรงอยู่นะ,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
837,V_F_GUR_EN,,V_F_GUR_BTL_17900,17900,64,64,64,65,GUR,โกรมา,female,groma,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_GUR_EN.uexp,work/opening_trace_phase2/awb/V_F_GUR_EN.awb,2.056,Leave the battlefield to me.,สนามรบฝากข้าจัดการ,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
838,V_F_GUR_EN,,V_F_GUR_BTL_18000,18000,65,65,65,66,GUR,โกรมา,female,groma,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_GUR_EN.uexp,work/opening_trace_phase2/awb/V_F_GUR_EN.awb,3.073,Thank you for relying on this old maid.,ขอบคุณที่ยังพึ่งพาหญิงชราคนนี้,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
839,V_F_GUR_EN,,V_F_GUR_BTL_18200,18200,66,66,66,67,GUR,โกรมา,female,groma,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_GUR_EN.uexp,work/opening_trace_phase2/awb/V_F_GUR_EN.awb,1.625,I am grateful.,ข้าซาบซึ้ง,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
840,V_F_GUR_EN,,V_F_GUR_BTL_18300,18300,67,67,67,68,GUR,โกรมา,female,groma,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_GUR_EN.uexp,work/opening_trace_phase2/awb/V_F_GUR_EN.awb,2.624,I have lived to fight another day.,ข้ายังมีชีวิตสู้ต่อได้อีกวัน,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
841,V_F_HEW_EN,,V_F_HEW_BTL_00400,400,0,0,0,1,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.698,Here I come.,ข้ามาแล้ว,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
842,V_F_HEW_EN,,V_F_HEW_BTL_00500,500,1,1,1,2,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.957,Time to take flight!,ได้เวลาทะยาน!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
843,V_F_HEW_EN,,V_F_HEW_BTL_00600,600,2,2,2,3,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.782,The hunt is on.,เริ่มการล่า,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
844,V_F_HEW_EN,,V_F_HEW_BTL_00700,700,3,3,3,4,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,1.238,This battle is ours.,ศึกนี้เป็นของเรา,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
845,V_F_HEW_EN,,V_F_HEW_BTL_01700,1700,4,4,4,5,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.933,This isn't good.,ท่าไม่ดีแล้ว,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
846,V_F_HEW_EN,,V_F_HEW_BTL_01800,1800,5,5,5,6,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,1.683,We mustn't let our guard down.,อย่าลดการระวังตัว,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
847,V_F_HEW_EN,,V_F_HEW_BTL_01900,1900,6,6,6,7,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,1.461,I won't give in.,ข้าจะไม่ยอม,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
848,V_F_HEW_EN,,V_F_HEW_BTL_02000,2000,7,7,7,8,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,1.34,It isn't over yet.,มันยังไม่จบ,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
849,V_F_HEW_EN,,V_F_HEW_BTL_02700,2700,8,8,8,9,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.715,[BATTLE CRY],อึก...,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,STATUS_REACTION,อึก...
850,V_F_HEW_EN,,V_F_HEW_BTL_02800,2800,9,9,9,10,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.494,[BATTLE CRY],อูย...,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,STATUS_REACTION,อูย...
851,V_F_HEW_EN,,V_F_HEW_BTL_02900,2900,10,10,10,11,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.265,[BATTLE CRY],ย๊าก!,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,ATTACK_CRY,ย๊าก!
852,V_F_HEW_EN,,V_F_HEW_BTL_03000,3000,11,11,11,12,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.458,Cah!,อ้าก!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
853,V_F_HEW_EN,,V_F_HEW_BTL_03100,3100,12,12,12,13,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.381,Hrra!,ฮึ่ย!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
854,V_F_HEW_EN,,V_F_HEW_BTL_03200,3200,13,13,13,14,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.589,[BATTLE CRY],ย๊าก!,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,ATTACK_CRY,ย๊าก!
855,V_F_HEW_EN,,V_F_HEW_BTL_03300,3300,14,14,14,15,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.359,[BATTLE CRY],ฮึ่ย!,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,ATTACK_CRY,ฮึ่ย!
856,V_F_HEW_EN,,V_F_HEW_BTL_03400,3400,15,15,15,16,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.715,Take that!,รับนี่ไป!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
857,V_F_HEW_EN,,V_F_HEW_BTL_03500,3500,16,16,16,17,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,1.22,This ends now!,จบกันตอนนี้!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
858,V_F_HEW_EN,,V_F_HEW_BTL_03600,3600,17,17,17,18,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.829,Goodbye!,ลาก่อน!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
859,V_F_HEW_EN,,V_F_HEW_BTL_08800,8800,18,18,18,19,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.56,Now!,ตอนนี้!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
860,V_F_HEW_EN,,V_F_HEW_BTL_08900,8900,19,19,19,20,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.708,An opening!,มีช่องแล้ว!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
861,V_F_HEW_EN,,V_F_HEW_BTL_09000,9000,20,20,20,21,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.624,Now me!,ตาข้าบ้าง!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
862,V_F_HEW_EN,,V_F_HEW_BTL_14200,14200,21,21,21,22,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,1.306,This battle is won!,ศึกนี้เราชนะแล้ว!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
863,V_F_HEW_EN,,V_F_HEW_BTL_14300,14300,22,22,22,23,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,1.152,Victory is ours!,ชัยชนะเป็นของเรา!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
864,V_F_HEW_EN,,V_F_HEW_BTL_14400,14400,23,23,23,24,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.417,What?,อะไรนะ?,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
865,V_F_HEW_EN,,V_F_HEW_BTL_14500,14500,24,24,24,25,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.875,It didn't work?,ไม่ได้ผลหรือ?,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
866,V_F_HEW_EN,,V_F_HEW_BTL_14600,14600,25,25,25,26,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.381,[BATTLE CRY],โอ๊ย!,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,HURT_CRY,โอ๊ย!
867,V_F_HEW_EN,,V_F_HEW_BTL_14700,14700,26,26,26,27,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.471,D'oh!,โธ่เอ๊ย!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
868,V_F_HEW_EN,,V_F_HEW_BTL_14800,14800,27,27,27,28,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.408,[BATTLE CRY],อึก!,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,HURT_CRY,อึก!
869,V_F_HEW_EN,,V_F_HEW_BTL_14900,14900,28,28,28,29,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.408,[BATTLE CRY],อึ่ก!,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,HURT_CRY,อึ่ก!
870,V_F_HEW_EN,,V_F_HEW_BTL_15000,15000,29,29,29,30,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.558,[BATTLE CRY],อั่ก!,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,HURT_CRY,อั่ก!
871,V_F_HEW_EN,,V_F_HEW_BTL_15100,15100,30,30,30,31,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.489,[BATTLE CRY],อึก!,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,HURT_CRY,อึก!
872,V_F_HEW_EN,,V_F_HEW_BTL_15200,15200,31,31,31,32,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.481,You!,เจ้านั่น!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
873,V_F_HEW_EN,,V_F_HEW_BTL_15300,15300,32,32,32,33,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.815,Back at you!,เอาคืนไป!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
874,V_F_HEW_EN,,V_F_HEW_BTL_15310,15310,33,33,33,34,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,1.154,Should have been more careful.,น่าจะระวังกว่านี้,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
875,V_F_HEW_EN,,V_F_HEW_BTL_15320,15320,34,34,34,35,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.64,My turn.,ตาข้าแล้ว,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
876,V_F_HEW_EN,,V_F_HEW_BTL_15400,15400,35,35,35,36,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.281,Huff!,ฮึบ!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
877,V_F_HEW_EN,,V_F_HEW_BTL_15500,15500,36,36,36,37,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.928,Not a chance!,ไม่มีทาง!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
878,V_F_HEW_EN,,V_F_HEW_BTL_15600,15600,37,37,37,38,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.49,Thank you.,ขอบคุณ,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
879,V_F_HEW_EN,,V_F_HEW_BTL_15700,15700,38,38,38,39,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.939,I appreciate it.,ขอบใจนะ,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
880,V_F_HEW_EN,,V_F_HEW_BTL_15800,15800,39,39,39,40,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.926,I needed that.,ข้าต้องการแบบนี้พอดี,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
881,V_F_HEW_EN,,V_F_HEW_BTL_15900,15900,40,40,40,41,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.844,How gracious.,ช่างกรุณา,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
882,V_F_HEW_EN,,V_F_HEW_BTL_16000,16000,41,41,41,42,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.977,This is wonderful.,ยอดเยี่ยมจริง ๆ,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
883,V_F_HEW_EN,,V_F_HEW_BTL_16100,16100,42,42,42,43,HEW,Hughette,female,hughette,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_HEW_EN.uexp,work/opening_trace_phase2/awb/V_F_HEW_EN.awb,0.83,Incredible!,น่าเหลือเชื่อ!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
